concept_id,category,data_value,gest_value
4337360,GEST,0,1
4220085,GEST,0,2
4326232,GEST,0,3
4195157,GEST,0,4
4290009,GEST,0,5
4313026,GEST,0,6
4270513,GEST,0,7
4132434,GEST,0,8
4322726,GEST,0,8
4245908,GEST,0,9
4242241,GEST,0,10
4174506,GEST,0,11
4015296,GEST,0,12
4197245,GEST,0,12
4181468,GEST,0,13
4266517,GEST,0,13
4248725,GEST,0,14
4283690,GEST,0,15
4014149,GEST,0,16
4049621,GEST,0,16
4277749,GEST,0,17
4097608,GEST,0,18
4181751,GEST,0,19
4324063,GEST,0,19
4014150,GEST,0,20
4051642,GEST,0,20
4178165,GEST,0,20
4181162,GEST,0,21
4185780,GEST,0,21
4274955,GEST,0,22
44808979,GEST,0,22
438542,GEST,0,23
4336226,GEST,0,23
439922,GEST,0,24
4015141,GEST,0,24
435640,GEST,0,25
44808980,GEST,0,25
444023,GEST,0,26
432430,GEST,0,27
45770261,GEST,0,27
444461,GEST,0,28
444417,GEST,0,29
4014151,GEST,0,30
434484,GEST,0,30
433864,GEST,0,31
44808981,GEST,0,31
4015297,GEST,0,32
442558,GEST,0,32
441678,GEST,0,33
4015298,GEST,0,34
4038754,GEST,0,34
443874,GEST,0,34
444267,GEST,0,35
4014434,GEST,0,35
4180111,GEST,0,35
4015299,GEST,0,36
438543,GEST,0,36
4015142,GEST,0,37
442355,GEST,0,37
762907,GEST,0,37
4038934,GEST,0,38
4014152,GEST,0,38
443871,GEST,0,38
4015300,GEST,0,39
435655,GEST,0,39
4015301,GEST,0,40
4336958,GEST,0,40
4015302,GEST,0,41
442769,GEST,0,41
444067,GEST,0,42
4014435,GEST,0,42
45773507,POSTT,0,42
41050803,CONTRA,0,
41050804,CONTRA,0,
41050815,CONTRA,0,
41050990,CONTRA,0,
41053034,CONTRA,0,
41053037,CONTRA,0,
41053038,CONTRA,0,
41053039,CONTRA,0,
41053406,CONTRA,0,
41053411,CONTRA,0,
41053412,CONTRA,0,
41053413,CONTRA,0,
41053414,CONTRA,0,
41053415,CONTRA,0,
41053416,CONTRA,0,
41053513,CONTRA,0,
41053514,CONTRA,0,
41053585,CONTRA,0,
41054430,CONTRA,0,
41054431,CONTRA,0,
41054432,CONTRA,0,
41054433,CONTRA,0,
41054434,CONTRA,0,
41323257,CONTRA,0,
41323258,CONTRA,0,
41323259,CONTRA,0,
41323260,CONTRA,0,
41323261,CONTRA,0,
41323262,CONTRA,0,
41323263,CONTRA,0,
41323264,CONTRA,0,
41323265,CONTRA,0,
41323266,CONTRA,0,
